email,type_contact,priority,department_code,commune,category,organization,source_url,source_name,query
info.jeunes01@gmail.com,info_jeunes_pij,1-coeur-cible,01,Bourg-en-Bresse,PIJ information jeunesse,Bureau information jeunesse - Bourg-en-Bresse,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/ain/0c392069-bdd4-4b80-b511-337b5ecd8aa3,Annuaire de l'administration Service-public.fr,info_jeunes_pij
jeunesse@csmosaique.fr,info_jeunes_pij,1-coeur-cible,01,Chalamont,PIJ information jeunesse,Point information jeunesse - Chalamont,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/ain/9d3f9279-3e59-4e0b-a212-cb0fe29cd49a,Annuaire de l'administration Service-public.fr,info_jeunes_pij
jeunesse.montrevel@grandbourg.fr,info_jeunes_pij,1-coeur-cible,01,Montrevel-en-Bresse,PIJ information jeunesse,Point information jeunesse - Montrevel-en-Bresse,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/ain/36a62cbe-4435-40e5-8720-67b3b3506ce4,Annuaire de l'administration Service-public.fr,info_jeunes_pij
pra@lespep01.org,info_jeunes_pij,1-coeur-cible,01,Oyonnax,PIJ information jeunesse,Point information jeunesse - Oyonnax,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/ain/8848ca8d-53d3-4d95-92f1-ce7be4cc67b1,Annuaire de l'administration Service-public.fr,info_jeunes_pij
animation@aves-vermandois.fr,info_jeunes_pij,1-coeur-cible,02,Bohain-en-Vermandois,PIJ information jeunesse,Point information jeunesse - Bohain-en-Vermandois,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/149e385c-ae3e-4b90-b475-c688e89bd4bc,Annuaire de l'administration Service-public.fr,info_jeunes_pij
pij@ville-chauny.fr,info_jeunes_pij,1-coeur-cible,02,Chauny,PIJ information jeunesse,Point information jeunesse - Chauny,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/2400c618-e1f6-42db-98ae-0127752de8e3,Annuaire de l'administration Service-public.fr,info_jeunes_pij
pij@ville-chateau-thierry.fr,info_jeunes_pij,1-coeur-cible,02,Château-Thierry,PIJ information jeunesse,Point information jeunesse - Château-Thierry,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/20f8e179-9b0c-4cc3-861c-757d19bb76f4,Annuaire de l'administration Service-public.fr,info_jeunes_pij
informatique.mcl@ville-gauchy.fr,info_jeunes_pij,1-coeur-cible,02,Gauchy,PIJ information jeunesse,Point information jeunesse - Gauchy,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/2cb172ad-0b43-4116-a3e0-e6a158d3a8ac,Annuaire de l'administration Service-public.fr,info_jeunes_pij
rsp-sud@cc-champagnepicarde.fr,info_jeunes_pij,1-coeur-cible,02,Guignicourt,PIJ information jeunesse,Point information jeunesse - Guignicourt,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/e9e1eaeb-bb5a-49a2-85b9-cd3e74d55884,Annuaire de l'administration Service-public.fr,info_jeunes_pij
cij.aisne@gmail.com,info_jeunes_pij,1-coeur-cible,02,Laon,PIJ information jeunesse,Centre information jeunesse - Laon,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/0f3b1fc0-5b5c-4fc0-b67e-f30d750ea432,Annuaire de l'administration Service-public.fr,info_jeunes_pij
ccas-lenouvion@wanadoo.fr,info_jeunes_pij,1-coeur-cible,02,Le Nouvion-en-Thiérache,PIJ information jeunesse,Point information jeunesse - Le Nouvion-en-Thiérache,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/51e79318-8754-4c83-adbd-63d400f38de3,Annuaire de l'administration Service-public.fr,info_jeunes_pij
accueil@picardiedeschateaux.fr,info_jeunes_pij,1-coeur-cible,02,Pinon,PIJ information jeunesse,Point information jeunesse - Pinon,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/6be06340-4ad4-4419-843f-6b7e64fc1e4b,Annuaire de l'administration Service-public.fr,info_jeunes_pij
jeunesse@cc-champagnepicarde.fr,info_jeunes_pij,1-coeur-cible,02,Saint-Erme-Outre-et-Ramecourt,PIJ information jeunesse,Point information jeunesse - Saint-Erme-Outre-et-Ramecourt,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/b8ff4d97-aefa-48c7-88f1-376c06f2b61a,Annuaire de l'administration Service-public.fr,info_jeunes_pij
h.dumenil@ville-soissons.fr,info_jeunes_pij,1-coeur-cible,02,Soissons,PIJ information jeunesse,Point information jeunesse - Soissons,https://lannuaire.service-public.gouv.fr/hauts-de-france/aisne/89ffa6c4-1957-4605-acae-cff7e65fec7e,Annuaire de l'administration Service-public.fr,info_jeunes_pij
pijcommentry@wanadoo.fr,info_jeunes_pij,1-coeur-cible,03,Commentry,PIJ information jeunesse,Point information jeunesse - Commentry,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/bbb9ddc1-317f-499d-addf-41b479ca4024,Annuaire de l'administration Service-public.fr,info_jeunes_pij
pij@ville-gannat.fr,info_jeunes_pij,1-coeur-cible,03,Gannat,PIJ information jeunesse,Point information jeunesse - Gannat,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/f21daa64-b904-40ad-8781-5aa092d12662,Annuaire de l'administration Service-public.fr,info_jeunes_pij
pointcyb.montlucon@wanadoo.fr,info_jeunes_pij,1-coeur-cible,03,Montluçon,PIJ information jeunesse,Point information jeunesse - Montluçon,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/1f45380a-3735-496f-a069-d62c7b310028,Annuaire de l'administration Service-public.fr,info_jeunes_pij
pij.moulins@ville-moulins.fr,info_jeunes_pij,1-coeur-cible,03,Moulins,PIJ information jeunesse,Point information jeunesse - Moulins,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/bf2be535-22c1-4c9d-ab44-4429bd9e5bfe,Annuaire de l'administration Service-public.fr,info_jeunes_pij
pij.varennes@viltais.eu,info_jeunes_pij,1-coeur-cible,03,Varennes-sur-Allier,PIJ information jeunesse,Point information jeunesse - Varennes-sur-Allier,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/2923507b-c384-4649-aa01-84b96ac0524e,Annuaire de l'administration Service-public.fr,info_jeunes_pij
