email,type_contact,department,category,source_url,page_title,query
crip03@allier.fr,protection_enfance,allier,CRIP protection enfance ASE,https://www.allier.fr/741-enfance-en-danger.htm,Enfance en danger - Conseil Departemental de l'Allier,manual public source: CRIP protection enfance ASE
pij.moulins@ville-moulins.fr,jeunesse_loisirs,allier,PIJ information jeunesse,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/bf2be535-22c1-4c9d-ab44-4429bd9e5bfe,Point information jeunesse - Moulins,official source: Annuaire de l'administration Service-public.fr
pij.varennes@viltais.eu,jeunesse_loisirs,allier,PIJ information jeunesse,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/2923507b-c384-4649-aa01-84b96ac0524e,Point information jeunesse - Varennes-sur-Allier,official source: Annuaire de l'administration Service-public.fr
pij@ville-gannat.fr,jeunesse_loisirs,allier,PIJ information jeunesse,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/f21daa64-b904-40ad-8781-5aa092d12662,Point information jeunesse - Gannat,official source: Annuaire de l'administration Service-public.fr
pijcommentry@wanadoo.fr,jeunesse_loisirs,allier,PIJ information jeunesse,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/bbb9ddc1-317f-499d-addf-41b479ca4024,Point information jeunesse - Commentry,official source: Annuaire de l'administration Service-public.fr
pointcyb.montlucon@wanadoo.fr,jeunesse_loisirs,allier,PIJ information jeunesse,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/1f45380a-3735-496f-a069-d62c7b310028,Point information jeunesse - Montluçon,official source: Annuaire de l'administration Service-public.fr
accueil-montbeugny@orange.fr,collectivite_administration,allier,administration collectivite service public,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/d7183762-1d69-4da3-a28d-ef45f49f44eb,Centre communal d'action sociale (CCAS) - Montbeugny,official source: Annuaire de l'administration Service-public.fr
accueil.moulins@justice.fr,collectivite_administration,allier,administration collectivite service public,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/78f5bfb7-e128-45a4-8f70-9ab85df66327,Tribunal judiciaire de Moulins,official source: Annuaire de l'administration Service-public.fr
accueil.tj-cusset@justice.fr,collectivite_administration,allier,administration collectivite service public,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/61452cc0-c031-48ac-a803-66a34b30f635,Tribunal judiciaire de Cusset,official source: Annuaire de l'administration Service-public.fr
accueil@ccspsl.fr,collectivite_administration,allier,administration collectivite service public,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/85039543-6ba3-464f-944e-7b24507e2e3c,Communauté de communes - Saint-Pourçain Sioule Limagne,official source: Annuaire de l'administration Service-public.fr
accueil@mjcmontlucon.fr,collectivite_administration,allier,administration collectivite service public,https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/9edb4681-2f6c-48b3-8534-40c4bd7a3c1e,France services - Montluçon,official source: Annuaire de l'administration Service-public.fr
